ID,SOC,ELEV,Aspect,Slope,TPI,K_Factor,MAP,MAT,NDVI,Slit_Clay,NLCD,FRG,NLCD_DES,FRG_DES
148,0.64,1594.094604,250.3361969,1.376445532,-0.888983905,0.206300005,290.6307068,14.03594971,0.189780757,35.99200058,5,133,Shrubland,Indeterminate FRG
149,3.974,1738.640869,118.9809952,7.909953594,-2.735330343,0.146129027,338.9155579,6.777688026,0.33801192,60.28709793,5,2,Shrubland,Fire Regime Group II
150,17.884,3232.158203,208.1791077,14.80366325,10.26024818,0.080315791,867.3407593,1.205052495,0.588652313,49.36000061,4,4,Forest,Fire Regime Group IV
151,16.019,2992.823486,200.2796021,15.15106678,-1.631630182,0.2116092,674.2595215,1.579425335,0.684369624,47.46091843,4,3,Forest,Fire Regime Group III
152,8.328,1200.339111,173.7955475,6.427920341,1.111960292,0.333636373,387.8337708,6.973295689,0.465711236,58.46250153,5,2,Shrubland,Fire Regime Group II
153,0.244,1876.869263,165.7689514,4.490485668,-1.034842253,0.2955814,272.2558594,6.906104565,0.255469292,44.28604507,5,4,Shrubland,Fire Regime Group IV
154,21.591,2517.141602,223.1869812,8.61106205,-11.63264465,0.280000001,631.3380737,5.304545403,0.674517334,60.90605927,4,3,Forest,Fire Regime Group III
155,13.758,1468.783936,151.8065186,8.112212181,-1.1322335,0.320549458,416.4020691,6.775384426,0.539935708,51.20549393,5,2,Shrubland,Fire Regime Group II
156,3.152,2723.777344,183.1520081,10.93907642,0.18465285,0.25141415,513.7905273,3.335808039,0.515593827,54.87575912,5,3,Shrubland,Fire Regime Group III
157,2.771,2285.150635,187.0106659,9.571628571,9.453812599,0.241400003,473.7323914,7.92414999,0.519464135,59.29399872,4,3,Forest,Fire Regime Group III
158,5.499,1745.197266,130.12117,7.798649788,-2.141284227,0.248041242,351.87323,6.955515385,0.379721195,60.10618591,5,1,Shrubland,Fire Regime Group I
159,18.277,2705.762939,187.1365509,9.070051193,-0.050651606,0.24191919,704.5940552,5.487373829,0.6759516,60.18888855,4,3,Forest,Fire Regime Group III
160,3.667,2584.609131,159.8394928,8.528406143,0.812943816,0.2465,310.8280029,3.544950008,0.274277657,53.06499863,5,3,Shrubland,Fire Regime Group III
161,4.953,2517.478027,110.2962875,7.052065372,-1.5664891,0.252371132,538.8876343,7.384536266,0.5326702,53.0917511,4,3,Forest,Fire Regime Group III
162,3.134,2141.247314,187.7428436,2.088098049,-0.132986262,0.284399986,286.915802,5.530650139,0.358321786,42.77899933,5,4,Shrubland,Fire Regime Group IV
